Numer,Data,Godzina,R1,R2,Adrian_R1,Adrian_R2,Bartek_R1,Bartek_R2,Damian_R1,Damian_R2,Daniel_R1,Daniel_R2,Gines_R1,Gines_R2,Jacek_R1,Jacek_R2,Łukasz_R1,Łukasz_R2,Marek_R1,Marek_R2,Mateusz_R1,Mateusz_R2,Michał_R1,Michał_R2,Miłosz_R1,Miłosz_R2,Robert_R1,Robert_R2,Sławek_R1,Sławek_R2,Tomasz_R1,Tomasz_R2
1, 14.06.2024,21:00,Germany,Scotland,2,0,2,0,2,1,3,0,2,1,1,0,1,0,3,1,3,0,3,1,2,1,2,1,2,0,3,0
2, 15.06.2024,15:00,Hungary,Switzerland,1,1,1,1,1,1,2,1,1,2,1,1,2,2,0,2,2,2,1,1,2,1,0,1,1,3,1,1
3, 15.06.2024,18:00,Spain,Croatia,2,2,2,1,1,0,2,0,3,1,2,2,2,2,2,1,1,1,2,1,2,0,0,0,1,2,1,1
4, 15.06.2024,21:00,Italy,Albania,1,0,3,0,3,0,3,0,2,0,2,1,1,0,2,0,1,0,2,1,3,0,3,0,4,0,2,0
5, 16.06.2024,15:00,Poland,Netherlands,1,2,1,1,1,2,1,4,1,3,1,2,0,2,2,2,1,3,2,2,1,1,1,1,3,0,1,3
6, 16.06.2024,18:00,Slovenia,Denmark,0,1,0,1,1,1,1,1,0,3,0,0,1,2,1,1,0,2,0,2,0,2,0,2,0,1,0,2
7, 16.06.2024,21:00,Serbia,England,0,2,0,3,0,2,1,4,0,2,0,1,1,3,1,3,0,2,0,2,0,1,0,2,0,2,0,2
8, 17.06.2024,15:00,Romania,Ukraine,1,3,1,1,2,2,1,2,0,1,0,3,2,3,0,0,1,1,0,1,0,2,0,1,0,0,1,2
9, 17.06.2024,18:00,Belgium,Slovakia,1,0,3,0,2,0,3,0,4,0,4,1,4,0,3,0,2,0,2,0,2,0,2,0,3,1,3,0
10, 17.06.2024,21:00,Austria,France,0,3,0,3,0,2,2,3,1,3,0,2,1,3,0,1,0,2,1,1,0,3,0,3,1,2,0,3
11, 18.06.2024,18:00,Türkiye,Georgia,2,0,2,0,1,0,2,1,1,0,3,1,1,1,2,0,3,1,2,1,2,0,1,0,0,0,2,1
12, 18.06.2024,21:00,Portugal,Czechia,1,1,2,1,3,1,4,2,2,1,3,2,3,2,3,0,3,0,2,1,3,0,2,1,2,0,2,1
13, 19.06.2024,15:00,Croatia,Albania,3,1,3,0,1,1,2,0,1,0,4,0,3,1,2,0,3,0,1,0,1,0,2,0,3,1,2,0
14, 19.06.2024,18:00,Germany,Hungary,1,0,2,0,2,0,3,1,2,1,3,0,2,2,3,1,4,0,2,0,2,0,2,0,2,0,3,1
15, 19.06.2024,21:00,Scotland,Switzerland,1,1,0,1,0,1,1,2,0,0,2,2,1,1,0,1,1,2,2,2,1,1,0,0,2,1,1,1
16, 20.06.2024,15:00,Slovenia,Serbia,1,1,1,1,0,2,1,1,0,1,0,0,1,1,2,2,1,1,0,2,2,1,1,0,2,2,1,1
17, 20.06.2024,18:00,Denmark,England,1,3,1,2,1,1,0,3,1,1,1,3,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2
18, 20.06.2024,21:00,Spain,Italy,2,2,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,1
19, 21.06.2024,15:00,Slovakia,Ukraine,0,3,0,1,1,2,0,0,2,2,0,2,1,2,1,2,1,2,0,2,0,1,0,1,0,1,0,1
20, 21.06.2024,18:00,Poland,Austria,2,1,1,0,1,0,3,3,2,1,3,2,1,1,1,0,0,1,2,1,1,0,1,0,0,1,1,1
21, 21.06.2024,21:00,Netherlands,France,1,3,2,2,1,2,2,3,2,2,1,1,2,3,1,2,0,3,1,1,1,2,1,1,1,1,2,3
22, 22.06.2024,15:00,Georgia,Czechia,0,2,0,1,0,2,1,3,0,2,1,0,0,2,0,0,1,1,2,1,0,0,0,1,0,0,0,2
23, 22.06.2024,18:00,Türkiye,Portugal,0,1,1,2,0,3,1,1,1,3,1,3,0,3,2,3,0,2,1,2,1,3,0,2,0,3,0,2
24, 22.06.2024,21:00,Belgium,Romania,3,0,1,0,3,0,2,0,4,0,4,0,3,0,3,0,3,0,2,0,4,0,2,0,3,0,3,1
25, 23.06.2024,21:00,Switzerland,Germany,1,1,0,1,0,1,1,2,1,3,1,1,1,1,2,3,1,3,0,1,2,1,0,1,1,2,0,2
26, 23.06.2024,21:00,Scotland,Hungary,0,0,1,1,1,1,1,2,2,1,2,0,0,0,2,0,1,1,0,1,1,0,2,0,2,2,1,1
27, 24.06.2024,21:00,Albania,Spain,0,4,0,3,0,3,0,4,0,3,0,5,1,3,0,3,0,4,0,3,0,4,0,4,0,4,0,4
28, 24.06.2024,21:00,Croatia,Italy,2,2,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,2,2
29, 25.06.2024,18:00,Netherlands,Austria,2,0,2,0,2,1,3,0,2,0,1,0,3,1,0,0,2,1,0,1,2,2,2,1,2,0,2,0
30, 25.06.2024,18:00,France,Poland,4,2,1,1,3,0,3,0,3,0,3,1,4,1,3,1,4,0,2,1,2,0,3,1,3,0,3,0
31, 25.06.2024,21:00,England,Slovenia,3,0,2,0,1,0,3,0,4,1,2,0,2,0,2,0,3,0,2,0,3,0,2,0,2,1,3,0
32, 25.06.2024,21:00,Denmark,Serbia,0,0,1,0,0,0,2,2,2,2,3,0,1,1,1,1,2,0,1,1,3,1,2,0,2,1,1,0
33, 26.06.2024,18:00,Slovakia,Romania,0,0,1,1,2,0,1,0,0,0,1,0,2,2,0,0,2,2,0,1,1,1,0,0,0,0,1,1
34, 26.06.2024,18:00,Ukraine,Belgium,2,2,0,1,1,2,1,2,1,2,2,2,1,2,1,2,0,3,2,1,1,3,1,2,0,1,1,2
35, 26.06.2024,21:00,Georgia,Portugal,1,3,0,2,0,3,0,4,0,4,1,4,0,2,0,3,0,3,0,2,0,4,0,2,0,2,0,4
36, 26.06.2024,21:00,Czechia,Türkiye,1,0,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,0,2,1,1,1,1,1,1
37, 29.06.2024,18:00,2A,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38, 29.06.2024,21:00,1A,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39, 30.06.2024,18:00,1C,3D/E/F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40, 30.06.2024,21:00,1B,3A/D/E/F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41, 01.07.2024,18:00,2D,2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42, 01.07.2024,21:00,1F,3A/B/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43, 02.07.2024,18:00,1E,3A/B/C/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44, 02.07.2024,21:00,1D,2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45, 05.07.2024,18:00,W39,W37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46, 05.07.2024,21:00,W41,W42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47, 06.07.2024,18:00,W40,W38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48, 06.07.2024,21:00,W43,W44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49, 09.07.2024,21:00,W45,W46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50, 10.07.2024,21:00,W47,W48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51, 14.07.2024,21:00,W49,W50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
